Rb1,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
606.28000,-81.61,10.86,-58.95,3.02
606.30000,-81.77,10.86,-58.89,3.02
606.32000,-81.92,10.87,-58.83,3.02
606.34000,-82.07,10.87,-58.76,3.02
606.36000,-82.23,10.87,-58.70,3.02
606.38000,-82.38,10.87,-58.63,3.02
606.40000,-82.54,10.88,-58.57,3.02
606.42000,-82.69,10.88,-58.50,3.02
606.44000,-82.85,10.88,-58.43,3.02
606.46000,-83.01,10.89,-58.37,3.02
606.48000,-83.16,10.89,-58.30,3.02
606.50000,-83.32,10.89,-58.23,3.02
606.52000,-83.48,10.89,-58.17,3.02
606.54000,-83.63,10.90,-58.10,3.02
606.56000,-83.79,10.90,-58.03,3.02
606.58000,-83.95,10.90,-57.96,3.02
606.60000,-84.11,10.91,-57.90,3.02
606.62000,-84.27,10.91,-57.83,3.02
606.64000,-84.43,10.91,-57.76,3.02
606.66000,-84.59,10.91,-57.69,3.02
606.68000,-84.75,10.92,-57.62,3.02
606.70000,-84.91,10.92,-57.55,3.02
606.72000,-85.07,10.92,-57.48,3.02
606.74000,-85.23,10.93,-57.41,3.02
606.76000,-85.40,10.93,-57.34,3.02
606.78000,-85.56,10.93,-57.26,3.02
606.80000,-85.72,10.93,-57.19,3.02
606.82000,-85.89,10.94,-57.12,3.02
606.84000,-86.05,10.94,-57.05,3.03
606.86000,-86.22,10.94,-56.98,3.03
606.88000,-86.38,10.95,-56.90,3.03
606.90000,-86.55,10.95,-56.83,3.03
606.92000,-86.71,10.95,-56.75,3.03
606.94000,-86.88,10.96,-56.68,3.03
606.96000,-87.05,10.96,-56.61,3.03
606.98000,-87.21,10.96,-56.53,3.03
607.00000,-87.38,10.96,-56.46,3.03
607.02000,-87.55,10.97,-56.38,3.03
607.04000,-87.72,10.97,-56.30,3.03
607.06000,-87.89,10.97,-56.23,3.03
607.08000,-88.06,10.98,-56.15,3.03
607.10000,-88.23,10.98,-56.07,3.03
607.12000,-88.40,10.98,-56.00,3.03
607.14000,-88.57,10.98,-55.92,3.03
607.16000,-88.74,10.99,-55.84,3.03
607.18000,-88.91,10.99,-55.76,3.03
607.20000,-89.08,10.99,-55.68,3.03
607.22000,-89.26,11.00,-55.60,3.03
607.24000,-89.43,11.00,-55.52,3.03
607.26000,-89.60,11.00,-55.44,3.03
607.28000,-89.78,11.01,-55.36,3.03
607.30000,-89.95,11.01,-55.28,3.03
607.32000,-90.13,11.01,-55.20,3.04
607.34000,-90.30,11.01,-55.12,3.04
607.36000,-90.48,11.02,-55.03,3.04
607.38000,-90.66,11.02,-54.95,3.04
607.40000,-90.84,11.02,-54.87,3.04
607.42000,-91.01,11.03,-54.78,3.04
607.44000,-91.19,11.03,-54.70,3.04
607.46000,-91.37,11.03,-54.61,3.04
607.48000,-91.55,11.04,-54.53,3.04
607.50000,-91.73,11.04,-54.44,3.04
607.52000,-91.91,11.04,-54.36,3.04
607.54000,-92.09,11.04,-54.27,3.04
607.56000,-92.27,11.05,-54.19,3.04
607.58000,-92.46,11.05,-54.10,3.04
607.60000,-92.64,11.05,-54.01,3.04
607.62000,-92.82,11.06,-53.92,3.04
607.64000,-93.01,11.06,-53.83,3.04
607.66000,-93.19,11.06,-53.75,3.04
