Cs1,6p3/2,,,
Wavelength,alpha_0,Uncertainty,alpha_2,Uncertainty
603.40500,-1097.39,50.32,937.53,26.24
603.40600,-1103.25,50.38,943.38,26.37
603.40700,-1109.19,50.45,949.30,26.49
603.40800,-1115.19,50.51,955.29,26.62
603.40900,-1121.27,50.58,961.35,26.75
603.41000,-1127.41,50.65,967.48,26.88
603.41100,-1133.64,50.72,973.69,27.01
603.41200,-1139.93,50.79,979.98,27.14
603.41300,-1146.31,50.86,986.34,27.28
603.41400,-1152.76,50.93,992.78,27.41
603.41500,-1159.30,51.00,999.30,27.55
603.41600,-1165.91,51.08,1005.91,27.69
603.41700,-1172.61,51.15,1012.59,27.84
603.41800,-1179.39,51.23,1019.36,27.98
603.41900,-1186.26,51.31,1026.22,28.13
603.42000,-1193.22,51.39,1033.16,28.28
603.42100,-1200.27,51.47,1040.20,28.43
603.42200,-1207.40,51.56,1047.32,28.58
603.42300,-1214.63,51.64,1054.54,28.74
603.42400,-1221.96,51.73,1061.85,28.89
603.42500,-1229.38,51.82,1069.26,29.05
603.42600,-1236.90,51.91,1076.77,29.22
603.42700,-1244.53,52.00,1084.38,29.38
603.42800,-1252.25,52.09,1092.09,29.55
603.42900,-1260.08,52.19,1099.91,29.72
603.43000,-1268.02,52.29,1107.84,29.89
603.43100,-1276.06,52.38,1115.87,30.06
603.43200,-1284.22,52.49,1124.02,30.24
603.43300,-1292.49,52.59,1132.27,30.42
603.43400,-1300.88,52.69,1140.65,30.60
603.43500,-1309.39,52.80,1149.14,30.79
603.43600,-1318.02,52.91,1157.76,30.98
603.43700,-1326.77,53.02,1166.50,31.17
603.43800,-1335.65,53.13,1175.37,31.36
603.43900,-1344.66,53.25,1184.36,31.56
603.44000,-1353.80,53.37,1193.49,31.76
603.44100,-1363.07,53.49,1202.75,31.96
603.44200,-1372.49,53.61,1212.15,32.17
603.44300,-1382.04,53.73,1221.70,32.38
603.44400,-1391.74,53.86,1231.38,32.59
603.44500,-1401.59,53.99,1241.22,32.81
603.44600,-1411.59,54.12,1251.20,33.03
603.44700,-1421.74,54.26,1261.34,33.25
603.44800,-1432.05,54.40,1271.64,33.48
603.44900,-1442.53,54.54,1282.11,33.71
603.45000,-1453.17,54.69,1292.73,33.94
603.45100,-1463.98,54.83,1303.53,34.18
603.45200,-1474.96,54.98,1314.50,34.43
603.45300,-1486.13,55.14,1325.65,34.67
603.45400,-1497.47,55.30,1336.99,34.93
603.45500,-1509.01,55.46,1348.51,35.18
603.45600,-1520.73,55.62,1360.22,35.44
603.45700,-1532.65,55.79,1372.13,35.71
603.45800,-1544.78,55.96,1384.24,35.98
603.45900,-1557.11,56.14,1396.56,36.25
603.46000,-1569.65,56.32,1409.09,36.53
603.46100,-1582.41,56.50,1421.83,36.82
603.46200,-1595.39,56.69,1434.81,37.11
603.46300,-1608.61,56.89,1448.01,37.40
603.46400,-1622.06,57.08,1461.44,37.71
603.46500,-1635.75,57.29,1475.12,38.01
603.46600,-1649.69,57.49,1489.05,38.32
603.46700,-1663.88,57.70,1503.23,38.64
603.46800,-1678.34,57.92,1517.68,38.97
603.46900,-1693.07,58.14,1532.39,39.30
603.47000,-1708.08,58.37,1547.39,39.64
603.47100,-1723.37,58.61,1562.67,39.98
603.47200,-1738.95,58.84,1578.24,40.33
603.47300,-1754.84,59.09,1594.11,40.69
603.47400,-1771.04,59.34,1610.30,41.06
603.47500,-1787.56,59.60,1626.81,41.43
603.47600,-1804.41,59.87,1643.64,41.81
603.47700,-1821.60,60.14,1660.82,42.20
603.47800,-1839.14,60.42,1678.35,42.60
603.47900,-1857.04,60.70,1696.24,43.01
603.48000,-1875.31,61.00,1714.50,43.42
603.48100,-1893.97,61.30,1733.14,43.85
603.48200,-1913.03,61.61,1752.19,44.28
603.48300,-1932.49,61.92,1771.64,44.72
603.48400,-1952.38,62.25,1791.51,45.17
603.48500,-1972.70,62.59,1811.82,45.64
603.48600,-1993.48,62.93,1832.58,46.11
603.48700,-2014.72,63.29,1853.81,46.60
603.48800,-2036.44,63.65,1875.53,47.09
603.48900,-2058.67,64.03,1897.74,47.60
603.49000,-2081.41,64.42,1920.46,48.12
603.49100,-2104.68,64.81,1943.72,48.65
603.49200,-2128.51,65.22,1967.54,49.20
603.49300,-2152.91,65.65,1991.93,49.76
603.49400,-2177.91,66.08,2016.91,50.33
603.49500,-2203.52,66.53,2042.51,50.92
603.49600,-2229.77,66.99,2068.75,51.52
603.49700,-2256.69,67.47,2095.66,52.14
603.49800,-2284.30,67.96,2123.25,52.78
603.49900,-2312.62,68.47,2151.56,53.43
603.50000,-2341.69,68.99,2180.62,54.10
603.50100,-2371.53,69.53,2210.45,54.79
603.50200,-2402.18,70.09,2241.09,55.49
603.50300,-2433.67,70.66,2272.56,56.22
603.50400,-2466.03,71.26,2304.91,56.97
603.50500,-2499.31,71.87,2338.17,57.73
603.50600,-2533.53,72.51,2372.39,58.53
603.50700,-2568.75,73.17,2407.59,59.34
603.50800,-2605.00,73.85,2443.83,60.18
603.50900,-2642.33,74.55,2481.15,61.04
603.51000,-2680.79,75.28,2519.60,61.93
603.51100,-2720.44,76.04,2559.23,62.85
603.51200,-2761.32,76.82,2600.10,63.80
603.51300,-2803.51,77.64,2642.27,64.78
603.51400,-2847.05,78.48,2685.80,65.79
603.51500,-2892.02,79.36,2730.76,66.84
603.51600,-2938.48,80.27,2777.21,67.92
603.51700,-2986.52,81.22,2825.24,69.03
603.51800,-3036.22,82.20,2874.92,70.19
603.51900,-3087.66,83.23,2926.35,71.39
603.52000,-3140.94,84.29,2979.61,72.63
603.52100,-3196.15,85.40,3034.81,73.91
603.52200,-3253.41,86.56,3092.06,75.25
603.52300,-3312.82,87.77,3151.46,76.63
603.52400,-3374.53,89.03,3213.15,78.07
603.52500,-3438.65,90.34,3277.26,79.57
603.52600,-3505.33,91.71,3343.93,81.13
603.52700,-3574.73,93.15,3413.32,82.75
603.52800,-3647.03,94.65,3485.60,84.44
603.52900,-3722.40,96.23,3560.96,86.20
603.53000,-3801.04,97.88,3639.59,88.04
603.53100,-3883.18,99.61,3721.72,89.96
603.53200,-3969.06,101.43,3807.58,91.97
603.53300,-4058.92,103.34,3897.43,94.08
603.53400,-4153.06,105.35,3991.56,96.28
603.53500,-4251.80,107.47,4090.28,98.60
603.53600,-4355.46,109.70,4193.94,101.03
603.53700,-4464.45,112.06,4302.90,103.58
603.53800,-4579.16,114.55,4417.61,106.27
